InvoiceNo,InvoiceDate,Total,CustomerId,Products
569528,2024-12-30T15:56:03.075Z,25975,67119,ALL
569532,2024-12-30T15:55:18.208Z,17846,113861,ALL
569534,2024-12-30T15:54:09.125Z,17846,119053,ALL
569539,2024-12-30T16:06:11.695Z,17846,119066,ALL
569543,2024-12-30T15:53:15.770Z,17846,44987,ALL
569544,2024-12-30T16:00:23.865Z,25975,111354,ALL
569546,2024-12-31T15:53:39.494Z,17846,119279,ALL
569549,2024-12-30T16:46:09.392Z,17846,86059,ALL
569550,2025-01-03T10:19:18.077Z,17846,98620,ALL
569551,,17846,120144,ALL
569552,2024-12-30T15:58:54.951Z,17846,79219,ALL
569555,2024-12-30T15:57:04.209Z,17846,118459,ALL
569565,2025-01-04T10:36:36.787Z,17846,120111,ALL
569568,2024-12-30T16:04:20.983Z,17846,119064,ALL
569569,2024-12-30T16:00:32.631Z,17846,119062,ALL
569570,2024-12-30T16:07:25.940Z,18049,84246,ALL
569575,2024-12-30T16:01:05.191Z,17846,119060,ALL
569580,2024-12-30T16:06:40.358Z,56869,119065,ALL
569591,2024-12-30T16:10:10.092Z,17846,106389,ALL
569599,2024-12-30T20:39:59.506Z,17846,119168,ALL
569605,2024-12-30T16:09:06.753Z,17846,119067,ALL
569610,2024-12-30T18:26:12.115Z,17846,119114,ALL
569617,2024-12-30T16:22:33.668Z,17846,108108,ALL
569621,2024-12-30T16:20:52.460Z,17846,119068,ALL
569625,2024-12-30T16:15:34.960Z,17846,69209,ALL
569628,2024-12-30T16:17:36.172Z,17846,119070,ALL
569629,2024-12-30T16:16:44.124Z,17846,72113,ALL
569630,2024-12-30T16:18:16.725Z,17846,119071,ALL
569632,2024-12-30T16:17:08.066Z,17846,86104,ALL
569635,2024-12-30T16:17:35.007Z,17846,119069,ALL
569639,2024-12-30T16:20:54.702Z,17846,29816,ALL
569641,2024-12-30T22:56:54.758Z,17846,119212,ALL
569654,2024-12-30T18:58:13.252Z,17846,119112,ALL
569658,2024-12-30T16:36:48.571Z,17846,115612,ALL
569659,2024-12-30T16:35:32.368Z,17846,94144,ALL
569662,2024-12-30T17:16:27.283Z,17846,113048,ALL
569665,2024-12-30T16:57:49.645Z,17846,119080,ALL
569670,2024-12-30T16:31:15.973Z,17846,78767,ALL
569674,2025-01-06T16:39:24.272Z,17846,119087,ALL
569675,2024-12-30T21:03:49.863Z,17846,119176,ALL
569678,2024-12-30T16:38:29.516Z,19879,119075,ALL
569681,2024-12-30T16:35:36.921Z,17846,48411,ALL
569684,2024-12-30T16:39:59.039Z,17846,119076,ALL
569685,2025-01-06T01:22:05.253Z,17846,74133,ALL
569686,2024-12-30T16:41:45.913Z,17846,119077,ALL
569690,2024-12-31T12:34:06.224Z,17846,119290,ALL
569692,2024-12-30T16:36:23.480Z,17846,119073,ALL
569695,2024-12-30T16:36:49.982Z,17846,119074,ALL
569699,2024-12-30T16:39:49.749Z,17846,96576,ALL
569700,2024-12-30T16:39:39.860Z,17846,77518,ALL
569702,2024-12-30T16:40:57.934Z,17846,26172,ALL
569704,2024-12-30T16:43:46.453Z,17846,119078,ALL
569716,2024-12-30T16:50:42.113Z,5854,35251,ALL
569720,2024-12-30T16:45:44.547Z,13821,54686,ALL
569724,2024-12-30T16:50:44.973Z,17846,119081,ALL
569727,2025-01-02T14:54:00.728Z,17846,119505,ALL
569728,2025-01-05T16:33:27.394Z,17846,74814,ALL
569731,2024-12-30T17:44:50.455Z,11951,119101,ALL
569736,2024-12-30T16:53:53.252Z,11951,119083,ALL
569739,2024-12-30T17:18:11.349Z,37154,86059,ALL
569742,2024-12-30T16:57:10.140Z,17846,5105,ALL
569743,2024-12-30T16:53:44.791Z,12359,119082,ALL
569745,2024-12-30T16:59:56.983Z,17846,119090,ALL
569750,2024-12-30T17:00:30.809Z,17846,37922,ALL
569754,2024-12-30T16:58:55.966Z,17846,119086,ALL
569756,2024-12-30T17:24:13.406Z,17846,51646,ALL
569757,2024-12-30T16:57:54.149Z,17846,94271,ALL
569759,2024-12-30T16:58:02.876Z,17846,119088,ALL
569760,2024-12-30T16:59:33.400Z,17846,82336,ALL
569761,2025-01-02T08:11:20.537Z,17846,119461,ALL
569763,2024-12-30T17:05:44.202Z,17846,86045,ALL
569767,2024-12-30T17:56:42.268Z,17846,119107,ALL
569769,2024-12-30T17:01:00.009Z,17846,73788,ALL
569772,2024-12-30T17:01:12.560Z,-34997,119091,ALL
569777,2024-12-30T17:03:38.195Z,17846,119092,ALL
569778,2024-12-31T06:34:43.680Z,17846,89457,ALL
569781,2024-12-30T17:12:17.112Z,17846,112074,ALL
569785,2024-12-30T17:06:17.223Z,17846,86838,ALL
569788,2024-12-30T17:15:28.022Z,17846,119094,ALL
569790,2024-12-30T17:59:17.116Z,17846,119105,ALL
569796,2024-12-30T17:12:12.505Z,17846,82004,ALL
569801,2024-12-30T17:30:57.733Z,10122,119097,ALL
569803,2024-12-30T21:42:22.571Z,82883,119191,ALL
569804,2024-12-30T17:14:54.267Z,11951,111286,ALL
569815,2024-12-30T18:01:35.910Z,17846,110360,ALL
569817,2024-12-30T17:19:30.773Z,17846,58885,ALL
569821,2024-12-30T17:31:22.468Z,17846,119098,ALL
569822,2025-01-01T16:09:00.240Z,17846,36872,ALL
569824,2024-12-31T13:24:10.119Z,83821,119303,ALL
569827,2024-12-30T17:27:23.222Z,17846,104860,ALL
569828,2025-01-03T16:44:13.830Z,17846,119803,ALL
569831,2024-12-30T17:21:26.717Z,17846,119095,ALL
569833,2024-12-30T18:13:24.396Z,17846,98283,ALL
569841,2025-01-02T10:45:15.628Z,17846,102066,ALL
569849,2024-12-30T17:31:21.639Z,17846,88981,ALL
569850,2024-12-30T17:33:23.931Z,19879,19300,ALL
569851,2024-12-30T17:28:50.406Z,17846,111969,ALL
569856,2024-12-31T07:55:12.512Z,17846,92679,ALL
569861,2024-12-30T17:32:16.516Z,17846,42616,ALL
569864,2025-01-01T08:01:33.887Z,17846,119365,ALL
569866,2024-12-30T17:45:21.877Z,26584,119103,ALL
569868,2024-12-30T17:40:05.067Z,17846,119100,ALL
569870,2024-12-30T17:39:44.322Z,17846,110650,ALL
569872,2024-12-30T17:53:42.801Z,17846,85340,ALL
569873,2024-12-30T17:38:01.054Z,17846,119087,ALL
569875,2024-12-30T18:19:19.963Z,17846,43876,ALL
569879,2024-12-30T17:40:02.344Z,17846,73788,ALL
569880,2024-12-30T17:40:48.369Z,17846,51718,ALL
569881,2024-12-30T19:17:36.695Z,17846,19882,ALL
569884,2024-12-30T17:42:55.339Z,17846,119102,ALL
569897,2025-01-06T16:05:53.857Z,18049,66318,ALL
569900,2024-12-30T17:51:48.225Z,17846,35640,ALL
569902,2024-12-30T17:55:57.105Z,20080,119106,ALL
569904,2024-12-30T17:51:05.023Z,17846,98788,ALL
569908,2024-12-30T18:01:31.305Z,17846,106433,ALL
569910,2024-12-30T17:57:55.536Z,17846,119108,ALL
569917,2024-12-30T18:02:28.004Z,17846,47441,ALL
569919,2024-12-30T18:03:22.109Z,17846,14055,ALL
569920,2024-12-30T17:59:30.325Z,17846,119109,ALL
569922,2024-12-30T18:04:17.959Z,17846,119110,ALL
569923,2024-12-30T18:03:51.510Z,17846,78034,ALL
569931,2024-12-30T18:11:32.981Z,17846,31628,ALL
569935,2024-12-31T05:58:04.610Z,17846,91491,ALL
569936,2024-12-30T19:47:23.883Z,17846,48386,ALL
569940,2024-12-30T18:11:26.483Z,17846,115459,ALL
569942,2025-01-07T21:43:01.239Z,-9998,120689,ALL
569943,2024-12-30T18:12:55.288Z,30041,66811,ALL
569947,2024-12-30T18:20:33.534Z,17846,111854,ALL
569950,2024-12-30T18:17:29.832Z,17846,90159,ALL
569959,2024-12-31T08:09:23.263Z,17846,18366,ALL
569960,2024-12-30T18:22:18.602Z,7886,119113,ALL
569961,2024-12-30T18:34:42.729Z,17846,119118,ALL
